"continent","iso","admin_0","admin_1","id_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","BEN","Benin","Oueme",10316382,"15.76","16.11","16.47",0.1456,0.1489,0.1522,"Pessimistic"
"Africa","BEN","Benin","Plateau",10313578,"19.35","19.72","20.1",0.1193,0.1216,0.124,"Pessimistic"
"Africa","BEN","Benin","Zou",10315228,"14.11","14.34","14.58",0.1644,0.1672,0.1699,"Pessimistic"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun",10315529,"13.43","13.63","13.84",0.1732,0.1759,0.1785,"Pessimistic"
"Africa","BFA","Burkina Faso","Cascades",10313590,"7.48","7.62","7.76",0.3092,0.3149,0.3206,"Pessimistic"
"Africa","BFA","Burkina Faso","Centre",10313557,"7.64","7.87","8.11",0.2955,0.3048,0.314,"Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Est",10313567,"10.3","10.52","10.75",0.223,0.2279,0.2327,"Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Nord",10313558,"8.38","8.53","8.69",0.2758,0.281,0.2861,"Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Ouest",10312946,"8.88","9.05","9.22",0.26,0.265,0.27,"Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Sud",10315008,"9.71","9.9","10.11",0.2372,0.2421,0.247,"Pessimistic"
"Africa","BFA","Burkina Faso","Est",10313743,"8.88","9.01","9.14",0.2623,0.2661,0.2699,"Pessimistic"
"Africa","BFA","Burkina Faso","Haut-Bassins",10315770,"9.87","10.07","10.28",0.2332,0.238,0.2429,"Pessimistic"
"Africa","BFA","Burkina Faso","Nord",10313839,"8.14","8.28","8.43",0.2843,0.2895,0.2947,"Pessimistic"
"Africa","BFA","Burkina Faso","Plateau-Central",10313584,"7.49","7.62","7.76",0.309,0.3146,0.3202,"Pessimistic"
"Africa","BFA","Burkina Faso","Sahel",10313146,"9.14","9.31","9.5",0.2525,0.2574,0.2623,"Pessimistic"
"Africa","BFA","Burkina Faso","Sud-Ouest",10312978,"8.43","8.55","8.67",0.2767,0.2806,0.2845,"Pessimistic"
"Africa","BWA","Botswana","Central",10314970,"11.78","12.92","14.3",0.1677,0.1856,0.2035,"Pessimistic"
"Africa","BWA","Botswana","Chobe",10316008,"12.41","13.71","15.32",0.1565,0.1749,0.1932,"Pessimistic"
"Africa","BWA","Botswana","Ghanzi",10315081,"12.41","13.68","15.26",0.1572,0.1752,0.1933,"Pessimistic"
"Africa","BWA","Botswana","Kgatleng",10316208,"12.45","13.79","15.44",0.1553,0.1739,0.1926,"Pessimistic"
"Africa","BWA","Botswana","Kweneng",10313749,"12.51","13.87","15.56",0.1541,0.1729,0.1916,"Pessimistic"
"Africa","BWA","Botswana","North-East",10315541,"12.28","13.55","15.11",0.1587,0.177,0.1953,"Pessimistic"
"Africa","BWA","Botswana","North-West",10314588,"12.19","13.38","14.84",0.1616,0.1792,0.1968,"Pessimistic"
"Africa","CAF","Central African Republic","Bamingui-Bangoran",10313901,"18.2","18.91","19.68",0.1218,0.1268,0.1317,"Pessimistic"
"Africa","CAF","Central African Republic","Bangui",10315067,"19.46","20.23","21.06",0.1139,0.1185,0.1232,"Pessimistic"
"Africa","CAF","Central African Republic","Basse-Kotto",10314955,"20.2","20.77","21.38",0.1122,0.1154,0.1187,"Pessimistic"
"Africa","CAF","Central African Republic","Haut-Mbomou",10313244,"19.56","20.24","20.96",0.1144,0.1185,0.1226,"Pessimistic"
"Africa","CAF","Central African Republic","Haute-Kotto",10315680,"19.85","20.53","21.25",0.1128,0.1168,0.1208,"Pessimistic"
"Africa","CAF","Central African Republic","Kemo",10314722,"19.69","20.38","21.11",0.1136,0.1177,0.1218,"Pessimistic"
"Africa","CAF","Central African Republic","Lobaye",10314051,"19.99","20.58","21.21",0.1131,0.1165,0.1199,"Pessimistic"
"Africa","CAF","Central African Republic","Mambere-Kadei",10314279,"19.86","20.43","21.05",0.1139,0.1174,0.1208,"Pessimistic"
"Africa","CAF","Central African Republic","Mbomou",10313219,"19.92","20.5","21.12",0.1135,0.1169,0.1204,"Pessimistic"
"Africa","CAF","Central African Republic","Nana-Gribizi",10316170,"19.74","20.43","21.18",0.1132,0.1174,0.1215,"Pessimistic"
"Africa","CAF","Central African Republic","Nana-Mambere",10315560,"20.13","20.79","21.49",0.1116,0.1153,0.1191,"Pessimistic"
"Africa","CAF","Central African Republic","Ombella M'Poko",10313441,"19.87","20.45","21.07",0.1138,0.1172,0.1207,"Pessimistic"
